index_label,Author,Title,Year,Doi,Downloaded
52,Armand L. Mauss,Sociological Perspectives on the Mormon Subculture,1984,10.2307/2083184,0
53,Liana Giorgi,Religious Involvement in a Secularized Society: An Empirical Confirmation of Martin's General Theory of Secularization,1992,10.2307/591342,1
54,Timothy Crippen,Old and New Gods in the Modern World: Toward a Theory of Religious Transformation,1988,10.2307/2579184,1
55,Kenneth Westhues,An Elaboration and Test of a Secularization Hypothesis in Terms of Open-Systems Theory of Organization,1971,10.2307/3005737,1
56,Jacqueline Scott,Generational Changes in Attitudes to Abortion: A Cross-National Comparison,1998,10.2307/522633,1
57,Steve Bruce,The Pervasive World-View: Religion in Pre-Modern Britain,1997,10.2307/591602,0
58,Kenneth Thompson,Religion: The British Contribution,1990,10.2307/590666,1
59,Ariana Need and Nan Dirk de Graaf,'Losing My Religion': A Dynamic Analysis of Leaving the Church in the Netherlands,1996,10.2307/522776,1
60,John Seidler,Contested Accommodation: The Catholic Church as a Special Case of Social Change,1986,10.2307/2578784,1
61,William Sims Bainbridge,Explaining the Church Member Rate,1990,10.2307/2579145,1
